tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt13991232,1883,1,33526,8.6,1
tt4236770,Yellowstone,2,23340,8.6,2
tt4236770,Yellowstone,3,20728,8.5,3
tt4236770,Yellowstone,4,22833,8.3,4
tt18335752,1923,1,14703,8.4,5
tt4236770,Yellowstone,1,24992,8.2,6
tt5516154,Godless,1,15237,8.2,7
tt1699748,Hell on Wheels,4,7866,8.3,8
tt1699748,Hell on Wheels,2,6491,8.3,9
tt1699748,Hell on Wheels,5,6966,8.3,10
tt0051308,The Rifleman,1,6064,8.2,11
tt1699748,Hell on Wheels,3,5842,8.2,12
tt0041038,The Lone Ranger,4,1895,8.7,13
tt0050073,Wagon Train,2,3445,8.3,14
tt0047736,Gunsmoke,11,5496,8.1,15
tt0047736,Gunsmoke,9,6670,8.0,16
tt0047736,Gunsmoke,8,7230,8.0,17
tt0096639,Lonesome Dove,1,1790,8.5,18
tt0050037,Maverick,2,3209,8.2,19
tt0047720,Cheyenne,3,1611,8.5,20
tt0051308,The Rifleman,3,3596,8.1,21
tt1699748,Hell on Wheels,1,8506,7.9,22
tt0047736,Gunsmoke,7,6942,8.0,23
tt0051308,The Rifleman,2,4051,8.1,24
tt4236770,Yellowstone,5,12405,7.9,25
tt0052481,Laramie,2,2520,8.2,26
tt0050073,Wagon Train,1,3597,8.1,27
tt0047736,Gunsmoke,12,5204,8.0,28
tt0041038,The Lone Ranger,5,1516,8.4,29
tt0050025,Have Gun - Will Travel,1,5025,7.9,30
tt0051308,The Rifleman,4,3139,8.1,31
tt0047720,Cheyenne,2,1761,8.3,32
tt0050073,Wagon Train,4,2779,8.1,33
tt0052481,Laramie,1,2820,8.1,34
tt0051290,Lawman,1,1729,8.3,35
tt0103405,Dr. Quinn， Medicine Woman,6,2503,8.1,36
tt0103405,Dr. Quinn， Medicine Woman,4,2916,8.1,37
tt14271652,Joe Pickett,1,1840,8.2,38
tt0052504,Rawhide,3,2443,8.1,39
tt0068093,Kung Fu,1,3659,8.0,40
tt0047736,Gunsmoke,10,6288,7.9,41
tt3673480,The Good Lord Bird,1,2888,8.0,42
tt0050073,Wagon Train,3,2991,8.0,43
tt0050037,Maverick,1,3506,8.0,44
tt11771270,The English,1,5246,7.9,45
tt0103405,Dr. Quinn， Medicine Woman,5,2735,8.0,46
tt6106704,Damnation,1,2730,8.0,47
tt0047720,Cheyenne,5,937,8.5,48
tt0047736,Gunsmoke,17,3666,7.9,49
tt0051308,The Rifleman,5,2724,8.0,50
tt0058791,The Big Valley,1,3718,7.9,51
tt0050025,Have Gun - Will Travel,2,3845,7.9,52
tt0041038,The Lone Ranger,1,3706,7.9,53
tt0050073,Wagon Train,5,2260,8.0,54
tt0047736,Gunsmoke,1,8411,7.8,55
tt0052481,Laramie,4,2002,8.1,56
tt0055710,The Virginian,2,2584,8.0,57
tt0051290,Lawman,2,1569,8.1,58
tt0055710,The Virginian,1,3458,7.9,59
tt0052504,Rawhide,4,2464,8.0,60
tt0047736,Gunsmoke,3,6953,7.8,61
tt0103405,Dr. Quinn， Medicine Woman,3,3450,7.9,62
tt0051290,Lawman,3,1436,8.2,63
tt0047720,Cheyenne,4,1005,8.3,64
tt0047736,Gunsmoke,5,6296,7.8,65
tt0050073,Wagon Train,7,1728,8.1,66
tt0055710,The Virginian,3,2246,8.0,67
tt0061263,The High Chaparral,1,2260,8.0,68
tt0047736,Gunsmoke,2,6964,7.8,69
tt0050073,Wagon Train,6,1956,8.0,70
tt0077027,How the West Was Won,2,796,8.5,71
tt0047736,Gunsmoke,13,3926,7.9,72
tt0068093,Kung Fu,2,2396,8.0,73
tt0052481,Laramie,3,1977,8.0,74
tt0055710,The Virginian,5,1777,8.0,75
tt0052504,Rawhide,5,2364,7.9,76
tt0050037,Maverick,3,2475,7.9,77
tt0129695,The Magnificent Seven,2,801,8.4,78
tt0077027,How the West Was Won,1,992,8.2,79
tt0096732,The Young Riders,3,558,8.6,80
tt0047736,Gunsmoke,18,3702,7.8,81
tt0047736,Gunsmoke,19,3490,7.8,82
tt0068093,Kung Fu,3,1966,8.0,83
tt0047720,Cheyenne,6,947,8.2,84
tt0047736,Gunsmoke,4,6374,7.8,85
tt0062577,Lancer,2,731,8.4,86
tt0047720,Cheyenne,7,921,8.2,87
tt0061263,The High Chaparral,2,1553,8.0,88
tt0047736,Gunsmoke,6,5652,7.8,89
tt0044259,Death Valley Days,8,765,8.3,90
tt0055710,The Virginian,6,1507,8.0,91
tt0047720,Cheyenne,1,1882,7.9,92
tt0047736,Gunsmoke,14,3906,7.8,93
tt0050079,Zorro,1,3237,7.8,94
tt0052504,Rawhide,2,2981,7.8,95
tt0050071,Trackdown,1,1000,8.1,96
tt0062577,Lancer,1,882,8.2,97
tt0050066,Tales of Wells Fargo,5,1355,8.0,98
tt0044259,Death Valley Days,11,587,8.4,99
tt0066625,Alias Smith and Jones,2,1717,7.9,100
tt0050025,Have Gun - Will Travel,4,3329,7.8,101
tt0047736,Gunsmoke,20,3651,7.8,102
tt0051290,Lawman,4,1390,8.0,103
tt0077027,How the West Was Won,3,734,8.3,104
tt0052504,Rawhide,6,2206,7.9,105
tt0050071,Trackdown,2,845,8.2,106
tt0050066,Tales of Wells Fargo,3,1610,7.9,107
tt14271652,Joe Pickett,2,443,8.5,108
tt0041038,The Lone Ranger,2,1121,8.0,109
tt0051261,Bronco,2,517,8.4,110
tt0044259,Death Valley Days,9,593,8.3,111
tt0061263,The High Chaparral,3,1347,7.9,112
tt0051327,Wanted: Dead or Alive,2,3421,7.8,113
tt0050025,Have Gun - Will Travel,6,2519,7.8,114
tt0050066,Tales of Wells Fargo,4,1357,7.9,115
tt0103405,Dr. Quinn， Medicine Woman,2,3512,7.7,116
tt0252781,Queen of Swords,1,516,8.3,117
tt0044259,Death Valley Days,10,484,8.3,118
tt0094473,Paradise,1,295,8.7,119
tt0075525,The Life and Times of Grizzly Adams,2,634,8.1,120
tt0051261,Bronco,1,563,8.2,121
tt0129695,The Magnificent Seven,1,697,8.1,122
tt0058791,The Big Valley,3,2175,7.8,123
tt0047736,Gunsmoke,15,3801,7.7,124
tt0044259,Death Valley Days,4,523,8.2,125
tt4998212,The Ranch,2,7394,7.7,126
tt0041038,The Lone Ranger,3,1756,7.8,127
tt0096732,The Young Riders,1,970,7.9,128
tt0051327,Wanted: Dead or Alive,3,2641,7.7,129
tt0066625,Alias Smith and Jones,1,1867,7.8,130
tt0044259,Death Valley Days,2,623,8.1,131
tt0051327,Wanted: Dead or Alive,1,4786,7.7,132
tt0050066,Tales of Wells Fargo,1,1080,7.9,133
tt5178604,Jericho,1,520,8.1,134
tt0047750,The Life and Legend of Wyatt Earp,2,1453,7.8,135
tt0052505,The Rebel,1,1655,7.8,136
tt0094473,Paradise,2,192,8.9,137
tt0050069,Tombstone Territory,3,1224,7.8,138
tt0047750,The Life and Legend of Wyatt Earp,6,1376,7.8,139
tt0050066,Tales of Wells Fargo,6,956,7.9,140
tt0051261,Bronco,4,453,8.1,141
tt0096732,The Young Riders,2,638,8.0,142
tt0044259,Death Valley Days,7,700,8.0,143
tt0044259,Death Valley Days,6,497,8.1,144
tt0106112,Return to Lonesome Dove,1,860,7.9,145
tt2202488,Mountain Men,2,182,8.8,146
tt0044259,Death Valley Days,13,771,7.9,147
tt0055710,The Virginian,7,1363,7.8,148
tt0058792,Branded,2,756,7.9,149
tt0052445,Bat Masterson,1,1790,7.7,150
tt0075525,The Life and Times of Grizzly Adams,1,429,8.1,151
tt0050066,Tales of Wells Fargo,2,2058,7.7,152
tt0051261,Bronco,3,239,8.4,153
tt0044259,Death Valley Days,12,606,7.9,154
tt0044259,Death Valley Days,18,549,8.0,155
tt0112045,Legend,1,216,8.4,156
tt0044259,Death Valley Days,3,531,8.0,157
tt3839822,The Son,1,3013,7.7,158
tt0050025,Have Gun - Will Travel,3,3368,7.7,159
tt0081837,Bret Maverick,1,700,7.9,160
tt0050025,Have Gun - Will Travel,5,2857,7.7,161
tt0058792,Branded,1,579,7.9,162
tt2883562,Quick Draw,2,183,8.5,163
tt0057742,Daniel Boone,6,752,7.8,164
tt0287260,Ponderosa,1,99,9.1,165
tt0052445,Bat Masterson,3,990,7.8,166
tt0044259,Death Valley Days,17,598,7.9,167
tt2202488,Mountain Men,3,140,8.6,168
tt0058825,A Man Called Shenandoah,1,651,7.8,169
tt0103405,Dr. Quinn， Medicine Woman,1,3110,7.7,170
tt0044259,Death Valley Days,1,661,7.8,171
tt0052504,Rawhide,1,3161,7.7,172
tt0044259,Death Valley Days,16,678,7.8,173
tt0057742,Daniel Boone,5,826,7.8,174
tt0044259,Death Valley Days,15,642,7.8,175
tt0050069,Tombstone Territory,1,1396,7.7,176
tt0052445,Bat Masterson,2,1325,7.7,177
tt0057742,Daniel Boone,4,800,7.8,178
tt0050069,Tombstone Territory,2,412,7.9,179
tt0055710,The Virginian,4,2015,7.7,180
tt4998212,The Ranch,1,11428,7.6,181
tt0057742,Daniel Boone,1,1135,7.7,182
tt0052504,Rawhide,7,2095,7.7,183
tt0058791,The Big Valley,2,2769,7.6,184
tt0094473,Paradise,3,93,8.7,185
tt0042110,The Gene Autry Show,1,420,7.8,186
tt0044259,Death Valley Days,14,698,7.7,187
tt5796728,Lone Star Law,1,117,8.4,188
tt0042110,The Gene Autry Show,2,261,8.0,189
tt0052483,Law of the Plainsman,1,360,7.9,190
tt0050037,Maverick,5,685,7.7,191
tt0041030,Hopalong Cassidy,2,594,7.7,192
tt0052449,Black Saddle,2,289,7.8,193
tt2202488,Mountain Men,1,129,8.1,194
tt0047736,Gunsmoke,16,3586,7.6,195
tt0047750,The Life and Legend of Wyatt Earp,3,1345,7.7,196
tt0044259,Death Valley Days,5,434,7.8,197
tt0042110,The Gene Autry Show,3,122,8.1,198
tt12053334,UnDeadwood,1,34,9.3,199
tt0047750,The Life and Legend of Wyatt Earp,1,1707,7.6,200
tt0062596,The Outcasts,1,302,7.8,201
tt0048916,Zane Grey Theatre,3,614,7.7,202
tt2202488,Mountain Men,7,104,8.1,203
tt0238343,Kapitan Petko Voyvoda,1,27,9.5,204
tt0047750,The Life and Legend of Wyatt Earp,5,1402,7.6,205
tt0115241,The Lazarus Man,1,79,8.2,206
tt0061259,The Guns of Will Sonnett,2,334,7.7,207
tt3480830,Gunslingers,2,112,8.0,208
tt6931486,The Cowboy Way: Alabama,1,50,8.6,209
tt0112041,Streets of Laredo,1,198,7.8,210
tt0056791,The Travels of Jaimie McPheeters,1,229,7.8,211
tt0050063,Sugarfoot,1,259,7.8,212
tt0052462,The Deputy,2,711,7.7,213
tt0066690,Nichols,1,530,7.7,214
tt0407461,Wild West Tech,2,92,8.0,215
tt0048916,Zane Grey Theatre,2,699,7.6,216
tt0131176,Lonesome Dove: The Outlaw Years,1,411,7.7,217
tt0068077,Hec Ramsey,2,117,7.9,218
tt0042093,The Cisco Kid,3,368,7.7,219
tt2202488,Mountain Men,8,30,8.6,220
tt0052505,The Rebel,2,1403,7.6,221
tt0042093,The Cisco Kid,6,374,7.7,222
tt0050079,Zorro,3,205,7.7,223
tt0053527,Outlaws,1,71,7.9,224
tt0068077,Hec Ramsey,1,251,7.7,225
tt5796728,Lone Star Law,2,60,8.0,226
tt0047750,The Life and Legend of Wyatt Earp,4,1176,7.6,227
tt0407461,Wild West Tech,3,31,8.3,228
tt2545910,Gold Fever,1,15,9.1,229
tt0050055,The Restless Gun,,18,8.8,230
tt3480830,Gunslingers,1,164,7.7,231
tt3920814,Strange Empire,1,719,7.6,232
tt2202488,Mountain Men,4,30,8.3,233
tt0061259,The Guns of Will Sonnett,1,479,7.6,234
tt6931486,The Cowboy Way: Alabama,6,15,8.8,235
tt2315355,Tales of the Frontier,1,13,9.0,236
tt2202488,Mountain Men,5,53,7.9,237
tt0050063,Sugarfoot,4,36,8.1,238
tt0050079,Zorro,2,2586,7.6,239
tt2883562,Quick Draw,1,292,7.6,240
tt18313946,Time Hustler,1,74,7.8,241
tt0048848,Broken Arrow,2,38,8.0,242
tt0050006,Colt .45,1,26,8.2,243
tt0055710,The Virginian,8,1497,7.6,244
tt0043225,The Roy Rogers Show,3,203,7.7,245
tt0060002,The Lone Ranger,1,14,8.5,246
tt0051329,Yancy Derringer,1,1234,7.6,247
tt0042110,The Gene Autry Show,4,122,7.7,248
tt0042093,The Cisco Kid,4,324,7.6,249
tt0103519,The Real West,1,17,8.3,250
tt0061244,Custer,1,189,7.6,251
tt6931486,The Cowboy Way: Alabama,7,10,8.6,252
tt0058822,The Loner,1,543,7.6,253
tt2202488,Mountain Men,9,18,8.1,254
tt0128014,The Young Pioneers,1,7,8.8,255
tt0070983,Dirty Sally,1,6,9.0,256
tt0051324,U.S. Marshal,2,38,7.8,257
tt6931486,The Cowboy Way: Alabama,2,10,8.4,258
tt0052474,Hotel de Paree,1,5,9.0,259
tt0106136,Snowy River: The McGregor Saga,1,223,7.6,260
tt0058800,F Troop,1,2118,7.6,261
tt16969236,Shadow of the Rougarou,1,6,8.5,262
tt0102962,Son of the Morning Star,1,26,7.8,263
tt5016670,Dominion Creek,2,40,7.7,264
tt6931486,The Cowboy Way: Alabama,5,5,8.6,265
tt0053527,Outlaws,2,8,8.2,266
tt0052449,Black Saddle,1,288,7.6,267
tt0051324,U.S. Marshal,,22,7.8,268
tt0042093,The Cisco Kid,5,347,7.6,269
tt1531068,Alaska State Troopers,6,40,7.7,270
tt0078715,Young Maverick,1,24,7.7,271
tt0053551,The Westerner,1,697,7.6,272
tt0074041,The Quest,1,228,7.6,273
tt15383758,The Head of Joaquín Murrieta,1,233,7.6,274
tt0061249,Dundee and the Culhane,1,6,8.0,275
tt0783328,Comanche Moon,1,234,7.6,276
tt0055663,Empire,,19,7.7,277
tt7263234,The Forsaken Westerns,3,16,7.7,278
tt0051320,The Texan,2,395,7.6,279
tt0043170,Adventures of Wild Bill Hickok,5,6,7.6,280
tt0053516,Klondike,1,21,7.6,281
tt0106136,Snowy River: The McGregor Saga,2,210,7.6,282
tt0043170,Adventures of Wild Bill Hickok,8,6,7.4,283
tt0043170,Adventures of Wild Bill Hickok,3,6,7.4,283
tt0088642,Wildside,1,58,7.6,285
tt0103519,The Real West,2,8,7.4,286
tt5016670,Dominion Creek,1,48,7.6,287
tt0043225,The Roy Rogers Show,6,229,7.6,288
tt0096551,Bordertown,3,5,7.2,289
tt0049991,26 Men,2,7,7.2,290
tt0052508,Shotgun Slade,2,7,7.2,290
tt0078585,The Chisholms,1,42,7.5,292
tt0050006,Colt .45,3,9,7.2,293
tt3720758,The Fjord Cowboys,1,6,7.0,294
tt0113195,Children of the Dust,1,25,7.4,295
tt5796728,Lone Star Law,10,5,6.8,296
tt0050063,Sugarfoot,3,145,7.6,297
tt1865572,Wild Boys,1,154,7.6,298
tt1531068,Alaska State Troopers,3,15,7.3,299
tt0051325,Union Pacific,1,16,7.3,300
tt0081755,Wild Times,1,19,7.3,301
tt0043169,The Adventures of Kit Carson,4,10,7.0,302
tt0054577,Whiplash,1,6,6.6,303
tt0043170,Adventures of Wild Bill Hickok,1,23,7.3,304
tt0140735,Dead Man's Gun,,34,7.4,305
tt0050000,Boots and Saddles,1,7,6.6,306
tt0159207,The Sheriff of Cochise,2,22,7.2,307
tt0106022,Harts of the West,1,53,7.4,308
tt0055663,Empire,1,14,6.9,309
tt0159903,Pony Express,1,7,6.3,310
tt2202488,Mountain Men,6,45,7.4,311
tt0162785,Alentejo Sem Lei,1,5,5.6,312
tt0061288,Rango,1,17,7.0,313
tt0050006,Colt .45,2,8,6.2,314
tt5796728,Lone Star Law,3,16,6.9,315
tt0058820,The Legend of Jesse James,1,8,6.0,316
tt0047777,Steve Donovan， Western Marshal,1,9,6.1,317
tt0043170,Adventures of Wild Bill Hickok,2,26,7.1,318
tt0096551,Bordertown,2,10,6.1,319
tt2657258,Killer Women,1,500,7.6,320
tt0163940,Hudson's Bay,1,11,6.1,321
tt13515614,New Gold Mountain,1,60,7.3,322
tt0140735,Dead Man's Gun,1,202,7.5,323
tt0295130,Red Ryder,1,14,6.0,324
tt0140735,Dead Man's Gun,2,204,7.5,325
tt0079840,The Sacketts,1,90,7.3,326
tt3405916,Luke and the Tenderfoot,1,27,6.6,327
tt0047733,Frontier,1,43,6.9,328
tt0051309,The Rough Riders,1,68,7.1,329
tt0048848,Broken Arrow,1,131,7.3,330
tt0053537,Stagecoach West,1,541,7.5,331
tt0055713,Wide Country,1,58,7.0,332
tt0407461,Wild West Tech,1,91,7.2,333
tt0043169,The Adventures of Kit Carson,2,31,6.4,334
tt0051292,Mackenzie's Raiders,1,405,7.5,335
tt1531068,Alaska State Troopers,4,68,7.0,336
tt0106136,Snowy River: The McGregor Saga,3,220,7.4,337
tt0050021,The Gray Ghost,1,42,6.6,338
tt0047716,Brave Eagle,1,18,5.3,339
tt0056747,The Dakotas,1,223,7.4,340
tt0051324,U.S. Marshal,1,158,7.3,341
tt0057742,Daniel Boone,2,1084,7.5,342
tt0115238,Dead Man's Walk,1,200,7.3,343
tt0081861,Father Murphy,2,65,6.8,344
tt0047734,Fury,2,194,7.3,345
tt0053528,Overland Trail,1,163,7.2,346
tt0053545,Tate,1,413,7.4,347
tt0057742,Daniel Boone,3,923,7.5,348
tt1531068,Alaska State Troopers,1,65,6.7,349
tt0163445,Four Feather Falls,1,259,7.4,350
tt0046576,The Adventures of Rin Tin Tin,4,55,6.5,351
tt0159207,The Sheriff of Cochise,1,78,6.8,352
tt0043225,The Roy Rogers Show,2,314,7.4,353
tt0052506,Riverboat,1,307,7.4,354
tt0060024,Shane,1,270,7.3,355
tt0043223,The Range Rider,2,68,6.7,356
tt0042110,The Gene Autry Show,5,124,7.1,357
tt0060016,Pistols 'n' Petticoats,1,232,7.3,358
tt0052506,Riverboat,2,59,6.5,359
tt0043225,The Roy Rogers Show,4,289,7.3,360
tt0078585,The Chisholms,2,70,6.6,361
tt0046578,Annie Oakley,2,230,7.3,362
tt0046576,The Adventures of Rin Tin Tin,5,65,6.5,363
tt0052451,Bonanza,9,2931,7.5,364
tt0046647,Stories of the Century,2,218,7.2,365
tt0043223,The Range Rider,1,55,6.2,366
tt0169512,Winnetou le mescalero,1,43,5.8,367
tt0052462,The Deputy,1,950,7.5,368
tt7263234,The Forsaken Westerns,2,111,6.9,369
tt0051263,Casey Jones,1,441,7.4,370
tt0061264,Hondo,1,393,7.4,371
tt0050037,Maverick,4,2036,7.5,372
tt0057743,Destry,1,68,6.3,373
tt1531068,Alaska State Troopers,2,89,6.6,374
tt0075552,The Oregon Trail,1,128,6.9,375
tt0058791,The Big Valley,4,2300,7.5,376
tt0182633,Sergeant Preston of the Yukon,3,313,7.3,377
tt0052478,Johnny Ringo,1,678,7.4,378
tt0182633,Sergeant Preston of the Yukon,2,410,7.3,379
tt0047734,Fury,4,173,7.0,380
tt0043225,The Roy Rogers Show,5,232,7.1,381
tt0182633,Sergeant Preston of the Yukon,1,729,7.4,382
tt0423626,Bucky and Pepito,1,33,4.3,383
tt0041030,Hopalong Cassidy,1,625,7.4,384
tt0044254,Cowboy G-Men,1,100,6.5,385
tt0096551,Bordertown,1,63,5.8,386
tt0047734,Fury,3,187,7.0,387
tt0081832,Best of the West,1,225,7.0,388
tt7809420,That Dirty Black Bag,1,1456,7.5,389
tt0047734,Fury,5,165,6.8,390
tt0048855,Circus Boy,2,83,6.1,391
tt0053544,The Tall Man,1,413,7.3,392
tt0062689,The Leatherstocking Tales,1,277,7.1,393
tt0046578,Annie Oakley,3,393,7.2,394
tt7263234,The Forsaken Westerns,1,270,7.1,395
tt0046576,The Adventures of Rin Tin Tin,3,145,6.6,396
tt0062569,Here Come the Brides,1,920,7.4,397
tt0043169,The Adventures of Kit Carson,1,159,6.7,398
tt0058855,The Wild Wild West,2,5012,7.5,399
tt3839822,The Son,2,1327,7.4,400
tt0047703,The Adventures of Champion,1,229,6.9,401
tt0106136,Snowy River: The McGregor Saga,4,184,6.7,402
tt0058855,The Wild Wild West,1,5810,7.5,403
tt0081861,Father Murphy,1,310,7.0,404
tt0055705,Stoney Burke,1,533,7.2,405
tt0050002,The Californians,1,357,7.1,406
tt0051320,The Texan,1,656,7.3,407
tt0050002,The Californians,2,297,6.9,408
tt0050063,Sugarfoot,2,264,6.9,409
tt0042093,The Cisco Kid,2,558,7.2,410
tt0058855,The Wild Wild West,4,2977,7.5,411
tt0052451,Bonanza,14,1456,7.4,412
tt0052504,Rawhide,8,915,7.3,413
tt4998212,The Ranch,4,5203,7.5,414
tt0060011,The Monroes,1,295,6.8,415
tt0059996,Iron Horse,2,209,6.5,416
tt0066625,Alias Smith and Jones,3,645,7.2,417
tt0108839,Lonesome Dove: The Series,1,453,7.0,418
tt0050026,Hawkeye and the Last of the Mohicans,1,818,7.3,419
tt0062569,Here Come the Brides,2,698,7.2,420
tt0046647,Stories of the Century,1,588,7.1,421
tt3738872,The American West,1,802,7.2,422
tt0051273,Frontier Doctor,1,203,6.3,423
tt0054540,Frontier Circus,1,243,6.5,424
tt0046576,The Adventures of Rin Tin Tin,2,391,6.9,425
tt0051266,Cimarron City,1,499,7.0,426
tt0048855,Circus Boy,1,231,6.4,427
tt0052451,Bonanza,10,2497,7.4,428
tt0050055,The Restless Gun,1,887,7.2,429
tt0048916,Zane Grey Theatre,1,1049,7.3,430
tt0047734,Fury,1,463,7.0,431
tt0050055,The Restless Gun,2,785,7.2,432
tt0049991,26 Men,1,229,6.4,433
tt0058800,F Troop,2,1580,7.4,434
tt0058855,The Wild Wild West,3,3201,7.4,435
tt0053544,The Tall Man,2,386,6.8,436
tt0043223,The Range Rider,3,339,6.6,437
tt0346328,Lucky Luke,1,325,6.6,438
tt0046578,Annie Oakley,1,426,6.8,439
tt0072470,Barbary Coast,1,396,6.7,440
tt0047775,The Adventures of Spin and Marty,1,417,6.7,441
tt0061263,The High Chaparral,4,865,7.1,442
tt0055710,The Virginian,9,1112,7.2,443
tt0048879,Judge Roy Bean,1,260,6.1,444
tt0132652,Buffalo Bill， Jr.,1,223,5.8,445
tt0043225,The Roy Rogers Show,1,527,6.8,446
tt0058819,Laredo,2,612,6.9,447
tt0059996,Iron Horse,1,455,6.7,448
tt0048916,Zane Grey Theatre,4,599,6.9,449
tt3598496,Texas Rising,1,974,7.1,450
tt0046576,The Adventures of Rin Tin Tin,1,570,6.8,451
tt0052508,Shotgun Slade,1,282,6.0,452
tt14084828,Django,1,436,6.5,453
tt0054578,Whispering Smith,1,661,6.8,454
tt0048840,The Adventures of Jim Bowie,2,403,6.4,455
tt0048840,The Adventures of Jim Bowie,1,523,6.6,456
tt0050073,Wagon Train,8,1736,7.2,457
tt0052451,Bonanza,11,2181,7.2,458
tt0061241,Cimarron Strip,1,1200,7.0,459
tt0052451,Bonanza,12,2323,7.2,460
tt0042093,The Cisco Kid,1,873,6.8,461
tt0052451,Bonanza,13,2108,7.2,462
tt0052451,Bonanza,5,3665,7.3,463
tt0058819,Laredo,1,969,6.8,464
tt0048887,My Friend Flicka,1,419,5.9,465
tt0048916,Zane Grey Theatre,5,662,6.3,466
tt0052451,Bonanza,3,4203,7.2,467
tt0069577,Dusty's Trail,1,388,5.4,468
tt0052451,Bonanza,6,3372,7.2,469
tt0052451,Bonanza,4,3789,7.2,470
tt0052451,Bonanza,8,3012,7.1,471
tt0052451,Bonanza,7,2838,7.1,472
tt0052451,Bonanza,2,4867,7.1,473
tt0052451,Bonanza,1,5717,7.1,474
tt4998212,The Ranch,3,7124,7.1,475
tt13155008,Goodnight for Justice,1,1328,6.2,476
